stratum,conflict_scope,numerator,denominator,q,q_wilson_low,q_wilson_high,N_quantile,N_hunk_pairs,p_eff_low,p_eff_point,p_eff_high,expected_overlap_pairs_low,expected_overlap_pairs_point,expected_overlap_pairs_high,transformed_ci,poisson_hazard_low,poisson_hazard_point,poisson_hazard_high,expected_minus_hazard_point
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,Q1,4,0.0449699601099,0.0536688374997,0.0637809349513,0.179879840439,0.214675349999,0.255123739805,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.184049934455,0.220650820485,0.263623144132,-0.00597547048568
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,median,59,0.00311462985974,0.00373285990657,0.00445822137874,0.183763161724,0.220238734488,0.263035061346,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.184049934455,0.220650820485,0.263623144132,-0.000412085996759
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,Q3,880,0.000209125782944,0.000250708136194,0.000299526887558,0.184030688991,0.220623159851,0.263583661051,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.184049934455,0.220650820485,0.263623144132,-2.76606338701e-05
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,Q1,4,0.0396816928363,0.0478330142157,0.0574177434018,0.158726771345,0.191332056862,0.229670973607,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.161961918061,0.196059417347,0.236528354252,-0.00472736048463
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,median,59,0.00274135286625,0.0033175257821,0.0040009300238,0.161739819109,0.195734021143,0.236054871404,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.161961918061,0.196059417347,0.236528354252,-0.000325396203634
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,Q3,880,0.000184030698433,0.000222769975523,0.000268746102036,0.161947014621,0.19603757846,0.236496569792,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.161961918061,0.196059417347,0.236528354252,-2.18388867003e-05
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,Q1,4,0.0315644268406,0.0388067257056,0.0475132505781,0.126257707363,0.155226902823,0.190053002312,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.128293282563,0.158319089365,0.194716333784,-0.00309218654217
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,median,59,0.00217209998556,0.00267977736505,0.00329483691625,0.128153899149,0.158106864538,0.194395378059,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.128293282563,0.158319089365,0.194716333784,-0.000212224826739
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,Q3,880,0.000145777194566,0.000179891873612,0.000221244083036,0.128283931218,0.158304848779,0.194694793072,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.128293282563,0.158319089365,0.194716333784,-1.42405857803e-05
cross,structural-inclusive textual conflict,48,115,0.417391304348,0.331362067204,0.508761066687,Q1,295,0.00136351895856,0.00182964452541,0.00240667436754,0.402238092776,0.539745134996,0.709968938425,Wilson q interval mapped monotonically through N*[1-(1-q)^(1/N)],0.402512571942,0.540239508973,0.71082464366,-0.000494373976793
