stratum,conflict_scope,numerator,denominator,q,q_wilson_low,q_wilson_high,editor_unit,N_quantile,N_value,p_eff_low,p_eff_point,p_eff_high,scan_min,scan_max,interval_position
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,hunk pair,Q1,12,0.0152204741987,0.0182195484404,0.0217290431687,0.00343506381915,0.0687233214314,inside scan
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,hunk pair,median,102,0.00180278415108,0.0021609052135,0.00258120357915,0.00343506381915,0.0687233214314,below scan
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,hunk pair,Q3,1292,0.000142443363621,0.000170767786318,0.000204021865925,0.00343506381915,0.0687233214314,below scan
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,file pair,Q1,4,0.0449699601099,0.0536688374997,0.0637809349513,0.00343506381915,0.0687233214314,inside scan
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,file pair,median,19,0.00964007236163,0.0115460281409,0.0137790895086,0.00343506381915,0.0687233214314,inside scan
same,structural-inclusive textual conflict,119,601,0.198003327787,0.168105737397,0.231736990468,file pair,Q3,121,0.00151991759198,0.00182189882363,0.00217633201836,0.00343506381915,0.0687233214314,below scan
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,hunk pair,Q1,12,0.0134061527367,0.0162055389339,0.0195177104566,0.00343506381915,0.0687233214314,inside scan
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,hunk pair,median,102,0.00158660195598,0.00192030500099,0.00231621884968,0.00343506381915,0.0687233214314,below scan
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,hunk pair,Q3,1292,0.000125349664793,0.000151737261774,0.000183054725058,0.00343506381915,0.0687233214314,below scan
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,file pair,Q1,4,0.0396816928363,0.0478330142157,0.0574177434018,0.00343506381915,0.0687233214314,inside scan
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,file pair,median,19,0.00848808254911,0.0102658593365,0.0123716942268,0.00343506381915,0.0687233214314,inside scan
same,conflict with any content component,107,601,0.178036605657,0.149526408393,0.210636499827,file pair,Q3,121,0.00133763281906,0.00161901374414,0.00195287044951,0.00343506381915,0.0687233214314,below scan
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,hunk pair,Q1,12,0.010634160119,0.0131066079078,0.0160954229242,0.00343506381915,0.0687233214314,inside scan
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,hunk pair,median,102,0.00125698660971,0.00155094397633,0.00190716271414,0.00343506381915,0.0687233214314,below scan
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,hunk pair,Q3,1292,9.9293276414e-05,0.000122530487391,0.000150697880609,0.00343506381915,0.0687233214314,below scan
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,file pair,Q1,4,0.0315644268406,0.0388067257056,0.0475132505781,0.00343506381915,0.0687233214314,inside scan
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,file pair,median,19,0.00672953262354,0.00829796389967,0.0101958939344,0.00343506381915,0.0687233214314,inside scan
same,content-only conflict,88,601,0.146422628952,0.120404628673,0.176931898442,file pair,Q3,121,0.0010597131695,0.001307566615,0.00160793178931,0.00343506381915,0.0687233214314,below scan
