agents,dependency,p,bartender_repairs,in_place_repairs,bartender_effort,in_place_effort,paired_repair_difference
2,0.0,0.003435063819150432,"0.90 [0.57, 1.23]","0.90 [0.57, 1.23]","1.47 [0.92, 2.02]","1.47 [0.92, 2.02]","0.00 [0.00, 0.00]"
2,0.0,0.01556231814190527,"4.63 [3.73, 5.53]","4.60 [3.73, 5.47]","7.32 [5.87, 8.77]","7.28 [5.86, 8.69]","0.03 [-0.03, 0.10]"
2,0.0,0.06872332143144783,"17.90 [16.57, 19.23]","19.07 [17.51, 20.63]","29.59 [27.30, 31.87]","31.44 [28.74, 34.14]","-1.17 [-1.66, -0.68]"
4,0.0,0.003435063819150432,"4.87 [4.15, 5.59]","4.97 [4.24, 5.69]","8.51 [7.21, 9.81]","8.54 [7.25, 9.84]","-0.10 [-0.21, 0.01]"
4,0.0,0.01556231814190527,"24.37 [22.51, 26.22]","26.93 [24.65, 29.21]","41.18 [38.06, 44.29]","45.44 [41.61, 49.27]","-2.57 [-3.29, -1.85]"
4,0.0,0.06872332143144783,"100.70 [96.54, 104.86]","281.07 [199.92, 362.21]","176.48 [168.88, 184.08]","2136.92 [524.13, 3749.71]","-180.37 [-261.15, -99.59]"
8,0.0,0.003435063819150432,"22.27 [20.35, 24.19]","25.60 [23.30, 27.90]","43.63 [39.94, 47.32]","49.52 [44.84, 54.20]","-3.33 [-4.11, -2.56]"
8,0.0,0.01556231814190527,"100.37 [96.01, 104.73]","456.70 [343.38, 570.02]","191.64 [182.73, 200.56]","7154.42 [4164.63, 10144.21]","-356.33 [-467.67, -245.00]"
8,0.0,0.06872332143144783,"395.30 [385.31, 405.29]","1004.37 [1002.56, 1006.18]","839.58 [806.35, 872.80]","24166.54 [24012.51, 24320.56]","-609.07 [-618.69, -599.44]"
4,0.1,0.003435063819150432,"4.87 [4.15, 5.59]","728.67 [616.19, 841.14]","8.51 [7.21, 9.81]","728.94 [616.96, 840.92]","-723.80 [-836.40, -611.20]"
4,0.1,0.01556231814190527,"196.40 [84.91, 307.89]","734.63 [624.36, 844.91]","210.09 [100.25, 319.94]","738.94 [630.74, 847.13]","-538.23 [-667.44, -409.03]"
4,0.1,0.06872332143144783,"377.57 [257.63, 497.50]","822.33 [748.32, 896.35]","429.01 [317.42, 540.60]","929.92 [773.14, 1086.69]","-444.77 [-566.05, -323.48]"
4,0.3,0.003435063819150432,"4.87 [4.15, 5.59]","963.53 [928.06, 999.01]","8.52 [7.22, 9.81]","962.76 [927.44, 998.08]","-958.67 [-994.08, -923.26]"
4,0.3,0.01556231814190527,"273.87 [146.12, 401.62]","964.83 [930.10, 999.57]","285.75 [160.13, 411.38]","964.90 [930.81, 998.99]","-690.97 [-822.43, -559.50]"
4,0.3,0.06872332143144783,"628.53 [522.87, 734.20]","973.03 [943.34, 1002.73]","659.97 [561.88, 758.06]","981.72 [957.37, 1006.08]","-344.50 [-451.37, -237.63]"
